timestamp;event.id;host.name;host.ip;user.name;process.name;process.executable;process.command_line;process.parent.name;process.pid;process.args;agent.name;source.ip;destination.ip;event.type;user.id
2025-10-20T13:05:51.230488Z;evt-auto-02-40-1361;host-02;10.0.2.140;luis;"""bitsadmin.exe""";C:\Windows\System32\bitsadmin.exe .exe;"""XtransferX""";explorer.exe;2799;/c echo test;sysmon;192.168.2.178;8.8.8.8;;
2025-10-20T13:04:51.230606Z;evt-auto-02-41-3736;host-02;10.0.2.141;maria;"""bitsadmin.exe""";C:\Windows\System32\bitsadmin.exe .exe;"""XtransferX""";explorer.exe;7541;/c echo test;edr1;192.168.2.233;203.0.113.5;;
2025-10-20T13:03:51.230723Z;evt-auto-02-42-7125;host-02;10.0.2.142;javi;"""bitsadmin.exe""";C:\Windows\System32\bitsadmin.exe .exe;"""XtransferX""";explorer.exe;2544;/c echo test;sysmon;192.168.2.23;10.1.1.1;;
2025-10-20T12:55:51.230920Z;evt-auto-02-50-9229;host-02;10.0.2.150;luis;"""bitsadmin.exe""";C:\Windows\System32\bitsadmin.exe .exe;bitsadmin.exe .exe /c echo test;"""bitsadmin.exe""";5517;/c echo test;edr1;192.168.2.107;10.1.1.1;;
2025-10-20T12:54:51.231010Z;evt-auto-02-51-5177;host-02;10.0.2.151;juanjo;"""bitsadmin.exe""";C:\Windows\System32\bitsadmin.exe .exe;bitsadmin.exe .exe /c echo test;"""bitsadmin.exe""";5320;/c echo test;sysmon;192.168.2.203;10.1.1.1;;
2025-10-20T12:53:51.231091Z;evt-auto-02-52-2750;host-02;10.0.2.152;maria;"""bitsadmin.exe""";C:\Windows\System32\bitsadmin.exe .exe;bitsadmin.exe .exe /c echo test;"""bitsadmin.exe""";2097;/c echo test;edr1;192.168.2.44;1.1.1.1;;
2025-10-15T09:10:00Z;evt-uTLD-001;host-21;;javi;bitsadmin.exe;C:\Windows\System32\bitsadmin.exe;bitsadmin /transfer job1 https://updates.sfx.ms/file.bin;explorer.exe;;;;;;;
2025-10-15T09:12:00Z;evt-uTLD-002;host-22;;juanjo;bitsadmin.exe;C:\Windows\System32\bitsadmin.exe;bitsadmin /transfer job2 https://assets.scdn.co/payload.dat;explorer.exe;;;;;;;
2025-10-15T09:14:30Z;evt-uTLD-003;host-23;;maria;bitsadmin.exe;C:\Windows\System32\bitsadmin.exe;bitsadmin /transfer job3 https://telemetry.contoso.net/track;explorer.exe;;;;;;;
2025-10-15T09:16:45Z;evt-uTLD-004;host-24;;pedro;bitsadmin.exe;C:\Windows\System32\bitsadmin.exe;bitsadmin /transfer job4 https://org.example.org/index;explorer.exe;;;;;;;
2025-10-15T10:05:10Z;evt-appi-001;host-31;;ana;AppInstaller.exe;C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.20.1234.0_x64__8wekyb3d8bbwe\AppInstaller.exe;C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.20.1234.0_x64__8wekyb3d8bbwe\AppInstaller.exe /silent;explorer.exe;;;;;;;
2025-10-15T10:07:25Z;evt-appi-002;host-32;;luis;AppInstaller.exe;C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.21.1300.0_x64__8wekyb3d8bbwe\AppInstaller.exe;C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.21.1300.0_x64__8wekyb3d8bbwe\AppInstaller.exe /install package.msix;explorer.exe;;;;;;;
2025-10-15T10:09:40Z;evt-appi-003;host-33;;sofia;AppInstaller.exe;C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.19.1100.0_x64__8wekyb3d8bbwe\AppInstaller.exe;C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.19.1100.0_x64__8wekyb3d8bbwe\AppInstaller.exe /update;explorer.exe;;;;;;;
;;;;;;;;;;;;;;;

